depth,longitude,latitude,fseq,depth_meters
0,2,3,,4.93454087
0,2,4,,4.93454087
0,2,5,,4.93454087
0,2,6,,4.93454087
0,2,7,,4.93454087
0,2,8,,4.93454087
0,2,9,,4.93454087
0,2,10,0.0,4.93454087
0,2,11,0.0,4.93454087
0,2,12,0.0,4.93454087
0,2,13,0.0,4.93454087
0,2,14,0.0,4.93454087
0,2,15,0.0,4.93454087
0,2,16,0.0,4.93454087
0,2,17,0.0,4.93454087
0,2,18,0.0,4.93454087
0,2,19,0.0,4.93454087
0,2,20,0.0,4.93454087
0,2,21,0.0,4.93454087
0,2,22,0.0,4.93454087
0,2,23,0.0,4.93454087
0,2,24,0.0,4.93454087
0,2,25,0.0,4.93454087
0,2,26,0.0,4.93454087
0,2,27,0.0,4.93454087
0,2,28,0.0,4.93454087
0,2,29,0.0,4.93454087
0,2,30,0.0,4.93454087
0,2,31,0.0,4.93454087
0,2,32,0.0,4.93454087
0,2,33,0.0,4.93454087
0,2,34,0.0,4.93454087
0,2,35,0.0,4.93454087
0,2,36,0.0,4.93454087
0,2,37,0.0,4.93454087
0,2,38,0.0,4.93454087
0,2,39,0.0,4.93454087
0,2,40,0.0,4.93454087
0,2,41,0.0,4.93454087
0,2,42,0.0,4.93454087
0,2,43,0.0,4.93454087
0,2,44,0.0,4.93454087
0,2,45,0.0,4.93454087
0,2,46,0.0,4.93454087
0,2,47,0.0,4.93454087
0,2,48,,4.93454087
0,2,49,,4.93454087
0,2,50,,4.93454087
0,2,51,,4.93454087
0,2,52,,4.93454087
0,2,53,,4.93454087
0,2,54,,4.93454087
0,2,55,,4.93454087
0,2,56,,4.93454087
0,2,57,,4.93454087
0,2,58,,4.93454087
0,2,59,,4.93454087
0,2,60,,4.93454087
0,2,61,,4.93454087
0,2,62,,4.93454087
0,2,63,0.0,4.93454087
0,2,64,0.0,4.93454087
0,2,65,0.0,4.93454087
0,2,66,0.0,4.93454087
0,2,67,,4.93454087
0,2,68,,4.93454087
0,2,69,,4.93454087
0,2,70,,4.93454087
0,2,71,,4.93454087
0,2,72,0.0,4.93454087
0,2,73,0.0,4.93454087
0,2,74,0.0,4.93454087
0,2,75,0.0,4.93454087
0,2,76,,4.93454087
0,2,77,0.0,4.93454087
0,2,78,0.0,4.93454087
0,2,79,0.0,4.93454087
0,2,80,0.0,4.93454087
0,2,81,0.0,4.93454087
0,2,82,0.0,4.93454087
0,2,83,0.0,4.93454087
0,2,84,0.0,4.93454087
0,2,85,0.0,4.93454087
0,2,86,0.0,4.93454087
0,2,87,0.0,4.93454087
0,2,88,0.0,4.93454087
0,2,89,0.0,4.93454087
0,2,90,,4.93454087
0,3,0,,4.93454087
0,3,1,,4.93454087
0,3,2,,4.93454087
0,3,3,,4.93454087
0,3,4,,4.93454087
0,3,5,,4.93454087
0,3,6,,4.93454087
0,3,7,,4.93454087
0,3,8,,4.93454087
0,3,9,,4.93454087
0,3,10,0.0,4.93454087
0,3,11,0.0,4.93454087
0,3,12,0.0,4.93454087
0,3,13,0.0,4.93454087
0,3,14,0.0,4.93454087
0,3,15,0.0,4.93454087
0,3,16,0.0,4.93454087
0,3,17,0.0,4.93454087
0,3,18,0.0,4.93454087
0,3,19,0.0,4.93454087
0,3,20,0.0,4.93454087
