WMO,CYCLE_NUMBER,critical_pres,total_area_aou,integrated_poc,LATITUDE,LONGITUDE,TIME
5903887,237,220,232.52371840346913,692.7778883999017,70.92,-5.105,2015-12-27
6901578,15,500,2670.9693096697383,18.213989317830062,-44.47640333333333,31.178483333333332,2015-05-24
6901578,269,420,345.0103604661701,10.681113911399704,-45.209165,94.76575833333334,2018-01-16
6901578,209,340,1331.0900423879136,73.44660823661953,-50.66979666666667,92.52836166666668,2017-05-18
6901578,258,580,1566.8432083617174,71.08255806766472,-46.003303333333335,95.273265,2017-12-25
6901578,334,340,3110.9796398848302,44.25871666971195,-51.598933333333335,133.33536666666666,2018-11-07
6901578,328,660,8142.855251250419,236.9658242257756,-49.554161666666666,131.35923833333334,2018-10-20
6901578,329,500,2997.361781368463,52.961122101151425,-50.446178333333336,131.35822166666668,2018-10-23
6901578,207,300,239.86085144441583,187.62064617192792,-51.846655,92.27826,2017-04-28
6901578,264,300,648.6130386752756,116.98214774061596,-45.36499166666667,95.08528,2018-01-06
6901578,127,620,842.6515779463073,77.80936839272759,-44.102955,59.34970166666667,2016-09-29
6901578,48,420,1308.901351516341,64.86996804097693,-43.338121666666666,37.70024,2015-10-27
6901578,249,580,3546.1417089707547,95.64516560826704,-47.72405166666667,94.44030333333332,2017-12-07
6901578,276,300,977.1207587484452,176.3136695723702,-45.57874,95.10571833333331,2018-01-30
6901578,14,500,2303.283546692942,63.80329081002256,-44.511968333333336,31.21238333333333,2015-05-23
6901578,325,500,1156.4684635146878,58.67292437111538,-49.630968333333335,128.63244,2018-10-11
6901578,357,460,2603.4514840551738,72.71011027794023,-50.01811,138.96578,2018-12-31
6901484,36,260,0,25.040452095338473,60.63013,-40.14064833333333,2013-12-06
6901484,12,340,1181.4428470499197,458.5660812530331,64.058465,-30.679856666666662,2013-07-04
6901484,5,260,484.6348538697877,108.1661634710849,63.25254833333333,-30.508623333333333,2013-06-21
6901484,24,340,999.7320673193176,129.31317243919722,64.331815,-33.24914666666667,2013-09-02
6901765,191,420,1253.9126033442874,66.05919794549399,35.934553333333334,21.52052,2018-06-11
6901765,133,540,2807.317211918688,150.73475555731338,35.61259666666667,22.20278,2017-05-01
3901497,191,820,2243.4789579248227,104.59527827266908,-33.89766,-13.319765,2017-01-09
5904980,93,740,158.2713625201432,18.15447251454635,-57.790294406631446,-30.709637697149446,2019-07-26
5904980,67,700,654.9544354891282,64.3608319158064,-58.27,-57.578,2018-11-03
5904980,106,260,804.8998691266384,34.48819786380205,-53.931,-31.546,2019-12-04
5904980,70,300,705.083295537225,71.00820865071033,-58.871,-52.588,2018-12-04
6902549,27,300,918.4925623179648,57.64794275427636,72.283,1.059,2015-03-12
6902549,46,300,1629.084147149025,241.95987223289856,68.687,-6.958,2015-06-15
6902549,18,220,573.3319767838884,213.92038486953484,72.706,4.11,2015-01-12
6902549,35,860,510.19076695648937,8.081129952912915,70.948,-4.317,2015-04-21
6902549,43,340,1396.131677444147,441.45080293286264,69.053,-7.054,2015-05-31
6902549,39,340,3324.2431110826396,861.9331444619245,70.782,-5.22,2015-05-11
6902549,179,260,369.972803722756,266.6484774582938,68.699,0.793,2017-04-10
6902549,42,300,158.76220579652784,339.48593360070987,69.361,-7.249,2015-05-26
6902549,187,260,464.84418673264656,330.9600734838652,68.491,2.364,2017-05-20
6902549,37,420,2262.180245944743,530.4777790957728,70.719,-4.597,2015-05-01
6902549,237,740,574.8660692491973,32.70563269881103,70.341,-1.575,2018-02-07
6902549,38,380,2474.4049776552274,483.8742433662139,70.784,-5.031,2015-05-06
5906032,79,420,0,0,-45.846,77.471,2021-07-02
5906032,88,260,1645.9285623605915,153.64415121292024,-49.87,88.226,2021-10-01
5906032,110,380,818.2905480588469,33.34766154266008,-47.74,98.3,2022-05-11
5905982,117,300,1730.19372813134,122.34009018396443,-40.382,-44.311,2021-12-30
5905982,115,260,1868.258609570916,32.32607807407415,-39.948,-45.922,2021-12-10
5905982,70,900,946.8435886488332,23.39985907094464,-35.355,-47.087,2020-09-13
5905982,119,220,852.1961861407785,104.29986547655064,-41.633,-44.884,2022-01-19
4903365,8,340,511.59886131232435,5.684482375650458,58.946,-42.553,2021-10-22
4903365,96,580,169.1494248103462,49.304876197329634,55.1965,-39.4884,2024-03-20
4903365,2,380,1763.619400522464,27.316206067603776,59.774,-39.151,2021-08-23
4903365,98,300,233.05853547568495,146.08683241731802,55.2417,-39.83,2024-04-09
4903365,85,460,1252.8485962572047,42.1279250713385,54.9045,-37.4077,2023-12-01
4903365,49,460,698.211991487462,82.93765231065402,57.369,-40.643,2022-12-06
4903365,38,260,1471.3150012840565,181.3642634682305,58.506,-42.254,2022-08-18
4903365,100,220,173.24974396295278,81.52325677476526,55.3347,-39.2875,2024-04-29
4903365,3,340,1186.4233627849485,108.2483938635036,59.327,-40.424,2021-09-02
4903365,39,340,1116.317656917471,79.29896922979577,58.415,-42.676,2022-08-28
4903365,51,380,725.8679585392955,24.639954573382507,57.089,-40.769,2022-12-26
4903365,44,620,290.9712876291153,37.89657819464824,58.731,-41.305,2022-10-17
4903365,13,300,1481.548603460501,83.04889263073545,57.894,-41.765,2021-12-11
