w,region,total_export_Pg_bl,total_export_Pg_up,fifty_yrs_export_Pg_bl,fifty_yrs_export_Pg_up
20,Mediterranean,1.5371947319397307e-4,2.888266545836296e-4,6.2170502958087335e-6,1.4048871026797986e-5
20,North Atlantic,0.0011858744747043843,0.0028564331108246526,2.4187561725769023e-4,5.839426544037809e-4
20,North Pacific,1.7050383940428457e-4,4.007022206424777e-4,1.2768857273737345e-5,3.031738943520453e-5
20,Northern Tropics,7.975847572140627e-4,0.0016368436951318887,1.60623183859282e-4,3.177042976905321e-4
20,Southern Ocean,0.001952001751195818,0.00447147414966486,6.110546312992367e-4,0.00119611805559313
20,Southern Tropics,7.825116222515191e-4,0.0015130800746662458,4.0180355504065434e-4,6.718183996222468e-4
20,NA,6.932992952447684e-5,1.4930570769389672e-4,4.703375013485201e-6,1.1701334981496411e-5
50,Mediterranean,3.8429868298493265e-4,7.220666364590741e-4,1.5542625739521834e-5,3.512217756699496e-5
50,North Atlantic,0.0029646861867609607,0.007141082777061631,6.046890431442255e-4,0.0014598566360094522
50,North Pacific,4.262595985107114e-4,0.0010017555516061943,3.192214318434336e-5,7.579347358801132e-5
50,Northern Tropics,0.0019939618930351565,0.004092109237829722,4.01557959648205e-4,7.942607442263303e-4
50,Southern Ocean,0.004880004377989545,0.011178685374162152,0.001527636578248092,0.0029902951389828253
50,Southern Tropics,0.001956279055628798,0.0037827001866656148,0.0010045088876016357,0.001679545999055617
50,NA,1.7332482381119207e-4,3.7326426923474186e-4,1.1758437533713004e-5,2.9253337453741026e-5
100,Mediterranean,7.685973659698653e-4,0.0014441332729181482,3.108525147904367e-5,7.024435513398992e-5
100,North Atlantic,0.005929372373521921,0.014282165554123262,0.001209378086288451,0.0029197132720189044
100,North Pacific,8.525191970214228e-4,0.0020035111032123886,6.384428636868672e-5,1.5158694717602264e-4
100,Northern Tropics,0.003987923786070313,0.008184218475659444,8.0311591929641e-4,0.0015885214884526606
100,Southern Ocean,0.00976000875597909,0.022357370748324303,0.003055273156496184,0.0059805902779656505
100,Southern Tropics,0.003912558111257596,0.0075654003733312295,0.0020090177752032715,0.003359091998111234
100,NA,3.4664964762238414e-4,7.465285384694837e-4,2.3516875067426008e-5,5.850667490748205e-5
200,Mediterranean,0.0015371947319397306,0.0028882665458362963,6.217050295808734e-5,1.4048871026797985e-4
200,North Atlantic,0.011858744747043843,0.028564331108246525,0.002418756172576902,0.005839426544037809
200,North Pacific,0.0017050383940428455,0.004007022206424777,1.2768857273737344e-4,3.031738943520453e-4
200,Northern Tropics,0.007975847572140626,0.01636843695131889,0.00160623183859282,0.003177042976905321
200,Southern Ocean,0.01952001751195818,0.044714741496648606,0.006110546312992368,0.011961180555931301
200,Southern Tropics,0.007825116222515192,0.015130800746662459,0.004018035550406543,0.006718183996222468
200,NA,6.932992952447683e-4,0.0014930570769389675,4.7033750134852016e-5,1.170133498149641e-4
300,Mediterranean,0.0023057920979095963,0.004332399818754443,9.3255754437131e-5,2.1073306540196976e-4
300,North Atlantic,0.017788117120565765,0.04284649666236979,0.003628134258865354,0.008759139816056713
300,North Pacific,0.0025575575910642685,0.006010533309637167,1.9153285910606017e-4,4.547608415280679e-4
300,Northern Tropics,0.011963771358210942,0.02455265542697833,0.00240934775788923,0.004765564465357981
300,Southern Ocean,0.02928002626793727,0.0670721122449729,0.0091658194694885509,0.01794177083389695
300,Southern Tropics,0.011737674333772789,0.02269620111999369,0.006027053325609815,0.010077275994333702
300,NA,0.0010399489428671524,0.002239585615408451,7.055062520227803e-5,1.7552002472244618e-4
400,Mediterranean,0.003074389463879461,0.005776533091672593,1.2434100591617468e-4,2.809774205359597e-4
400,North Atlantic,0.023717489494087685,0.05712866221649305,0.004837512345153804,0.011678853088075617
400,North Pacific,0.003410076788085691,0.008014044412849555,2.553771454747469e-4,6.063477887040906e-4
400,Northern Tropics,0.015951695144281252,0.03273687390263778,0.00321246367718564,0.006354085953810642
400,Southern Ocean,0.03904003502391636,0.08942948299329721,0.012221092625984736,0.023922361111862602
400,Southern Tropics,0.015650232445030384,0.030261601493324918,0.008036071100813086,0.013436367992444936
400,NA,0.0013865985904895366,0.002986114153877935,9.406750026970403e-5,2.340266996299282e-4
500,Mediterranean,0.003842986829849327,0.007220666364590739,1.5542625739521835e-4,3.5122177566994963e-4
500,North Atlantic,0.029646861867609606,0.07141082777061632,0.006046890431442255,0.01459856636009452
500,North Pacific,0.004262595985107114,0.010017555516061942,3.1922143184343364e-4,7.579347358801132e-4
500,Northern Tropics,0.019939618930351566,0.04092109237829722,0.00401557959648205,0.007942607442263303
500,Southern Ocean,0.04880004377989545,0.1117868537416215,0.015276365782480917,0.029902951389828254
500,Southern Tropics,0.01956279055628798,0.03782700186665615,0.010045088876016359,0.01679545999055617
500,NA,0.001733248238111921,0.003732642692347418,1.1758437533713003e-4,2.925333745374103e-4
